AquaCrop,5.0,(October,2015),-,Output,created,on,(date),:,7/31/2017,at,(time),:,2:02:44,AM

Day,Month,Year,DAP,Stage,WC(1.20),Rain,Irri,Surf,Infilt,RO,Drain,CR,Zgwt,Ex,E,E/Ex,Trx,Tr,Tr/Trx,ETx,ET,ET/ETx,GD,Z,StExp,StSto,StSen,StSalt,CC,Kc(Tr),Trx,Tr,Tr/Trx,WP,StBio,Biomass,HI,Yield,Brelative,WPet,WC(1.20),Wr(1.00),Z,Wr,Wr(SAT),Wr(FC),Wr(exp),Wr(sto),Wr(sen),Wr(PWP),SaltIn,SaltOut,SaltUp,Salt(1.20),SaltZ,Z,ECe,ECsw,StSalt,Zgwt,ECgw,WC1,WC2,WC3,WC4,WC5,WC6,WC7,WC8,WC9,WC10,WC11,WC12,ECe1,ECe2,ECe3,ECe4,ECe5,ECe6,ECe7,ECe8,ECe9,ECe10,ECe11,ECe12,Rain,ETo,Tmin,Tavg,Tmax,CO2
d,m,y,d,none,mm,mm,mm,mm,mm,mm,mm,mm,m,mm,mm,%,mm,mm,%,mm,mm,%,°C-day,m,%,%,%,%,%,-,mm,mm,%,g/m2,%,ton/ha,%,ton/ha,%,kg/m3,mm,mm,m,mm,mm,mm,mm,mm,mm,mm,ton/ha,ton/ha,ton/ha,ton/ha,ton/ha,m,dS/m,dS/m,%,m,dS/m,0.05,0.15,0.25,0.35,0.45,0.55,0.65,0.75,0.85,0.95,1.05,1.15,0.05,0.15,0.25,0.35,0.45,0.55,0.65,0.75,0.85,0.95,1.05,1.15,mm,mm,°C,°C,°C,ppm
22,3,2000,1,1,267.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9.90,2.9,2.5,88,0.0,0.0,100,2.9,2.5,88,1.4,0.30,-9,-9,-9,0,0.0,0.00,0.0,0.0,100,0.0,0,0.000,-9.9,0.000,-9,0.00,267.5,237.5,0.30,87.5,150.0,90.0,81.0,55.7,48.0,30.0,0.000,0.000,0.000,0.000,0.000,0.30,0.00,0.00,0,-0.09,-9.00,27.5,30.0,30.0,28.7,26.2,23.7,21.2,18.7,16.2,15.0,15.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.6,1.8,8.4,15.0,369.41
23,3,2000,2,1,267.1,0.0,3.0,0.0,3.0,0.0,0.0,0.0,-9.90,3.4,3.4,100,0.0,0.0,100,3.4,3.4,100,3.5,0.30,-9,-9,-9,0,0.0,0.00,0.0,0.0,100,0.0,0,0.000,-9.9,0.000,-9,0.00,267.1,237.1,0.30,87.1,150.0,90.0,81.0,57.2,48.0,30.0,0.000,0.000,0.000,0.000,0.000,0.30,0.00,0.00,0,-0.09,-9.00,27.1,30.0,30.0,28.8,26.2,23.7,21.2,18.7,16.2,15.0,15.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.4,0.0,10.5,21.0,369.41
24,3,2000,3,1,267.2,0.0,3.0,0.0,3.0,0.0,0.0,0.0,-9.90,3.0,3.0,100,0.0,0.0,100,3.0,3.0,100,3.9,0.30,-9,-9,-9,0,0.0,0.00,0.0,0.0,100,0.0,0,0.000,-9.9,0.000,-9,0.00,267.2,237.2,0.30,87.2,150.0,90.0,81.0,55.9,48.0,30.0,0.000,0.000,0.000,0.000,0.000,0.30,0.00,0.00,0,-0.09,-9.00,27.2,30.0,30.0,28.8,26.2,23.7,21.2,18.7,16.2,15.0,15.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7,2.8,10.9,19.0,369.41
25,3,2000,4,1,267.2,0.0,3.0,0.0,3.0,0.0,0.0,0.0,-9.90,3.0,3.0,100,0.0,0.0,100,3.0,3.0,100,6.0,0.30,-9,-9,-9,0,0.0,0.00,0.0,0.0,100,0.0,0,0.000,-9.9,0.000,-9,0.00,267.2,237.2,0.30,87.2,150.0,90.0,81.0,55.9,48.0,30.0,0.000,0.000,0.000,0.000,0.000,0.30,0.00,0.00,0,-0.09,-9.00,27.2,30.0,30.0,28.8,26.2,23.7,21.2,18.7,16.2,15.0,15.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7,6.0,13.0,20.0,369.41
26,3,2000,5,2,269.4,0.6,4.0,0.0,4.6,0.0,0.0,0.0,-9.90,2.4,2.4,100,0.0,0.0,100,2.4,2.4,100,8.0,0.33,-9,0,0,0,0.8,0.01,0.0,0.0,100,18.0,0,0.003,-9.9,0.000,100,0.00,269.4,239.4,0.33,97.0,163.2,97.9,81.3,59.9,48.1,32.6,0.000,0.000,0.000,0.000,0.000,0.33,0.00,0.00,0,-0.09,-9.00,29.4,30.0,30.0,28.8,26.2,23.7,21.2,18.7,16.2,15.0,15.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,2.2,10.0,15.0,20.0,369.41
27,3,2000,6,2,271.9,0.8,4.0,0.0,4.8,0.0,0.0,0.0,-9.90,2.3,2.3,100,0.0,0.0,100,2.3,2.3,100,6.8,0.35,0,0,0,0,0.9,0.02,0.0,0.0,100,18.0,0,0.005,-9.9,0.000,100,0.00,271.9,241.9,0.35,106.6,175.5,105.3,87.2,64.2,51.5,35.1,0.000,0.000,0.000,0.000,0.000,0.35,0.00,0.00,0,-0.09,-9.00,31.9,30.0,30.0,28.8,26.2,23.7,21.2,18.7,16.2,15.0,15.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,2.1,10.0,13.8,17.5,369.41
28,3,2000,7,2,273.1,0.0,4.0,0.0,4.0,0.0,0.0,0.0,-9.90,2.7,2.7,100,0.1,0.1,100,2.8,2.8,100,8.6,0.37,0,0,0,0,1.0,0.02,0.1,0.1,100,18.0,0,0.009,-9.9,0.000,100,0.00,273.1,243.1,0.37,114.1,186.9,112.1,94.7,69.9,56.1,37.4,0.000,0.000,0.000,0.000,0.000,0.37,0.00,0.00,0,-0.09,-9.00,31.8,30.4,30.2,29.5,26.2,23.7,21.2,18.7,16.2,15.0,15.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.8,9.0,15.6,22.1,369.41
29,3,2000,8,2,273.8,0.0,4.0,0.0,4.0,0.0,0.0,0.0,-9.90,3.2,3.2,100,0.1,0.1,100,3.3,3.3,100,8.6,0.39,0,0,0,0,1.1,0.02,0.1,0.1,100,18.0,0,0.012,-9.9,0.000,100,0.00,273.8,243.8,0.39,120.7,197.4,118.5,101.6,75.0,60.1,39.5,0.000,0.000,0.000,0.000,0.000,0.39,0.00,0.00,0,-0.09,-9.00,31.3,30.5,30.3,30.2,26.6,23.7,21.2,18.7,16.2,15.0,15.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.3,8.2,15.6,23.0,369.41
30,3,2000,9,2,273.6,0.0,3.0,0.0,3.0,0.0,0.0,0.0,-9.90,3.2,3.2,100,0.1,0.1,100,3.3,3.3,100,6.0,0.41,0,0,0,0,1.2,0.02,0.1,0.1,100,18.0,0,0.017,-9.9,0.000,100,0.00,273.6,243.6,0.41,125.0,207.4,124.5,105.8,78.1,62.6,41.5,0.000,0.000,0.000,0.000,0.000,0.41,0.00,0.00,0,-0.09,-9.00,30.1,30.4,30.2,30.2,27.7,23.7,21.2,18.7,16.2,15.0,15.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,7.0,13.0,19.0,369.41
