9.0	23.5	16.3	3.8
10.5	22.4	16.5	9.2
13.5	20.6	17.1	14.6
12.4	24.1	18.3	12.2
13.1	21.4	17.3	14.2
10.6	23.9	17.3	0
10.8	23.7	17.3	1.9
8.8	23.0	15.9	0.4
10.1	23.6	16.9	0.7
9.5	24.2	16.9	0
8.5	24.0	16.3	0
9.3	25.3	17.3	0
8.5	23.7	16.1	12.4
10.8	24.0	17.4	6.5
11.2	22.7	17.0	0
11.0	23.0	17.0	0
7.8	24.2	16.0	0
7.2	24.2	15.7	0
8.5	25.2	16.9	0
7.7	24.1	15.9	0
11.9	23.2	17.6	6.3
11.9	25.7	18.8	0
8.8	25.4	17.1	2
10.0	24.0	17.0	2
9.5	24.0	16.8	0
11.7	23.8	17.8	0
12.8	24.0	18.4	0
11.3	23.7	17.5	0
8.2	26.5	17.4	0
8.8	25.3	17.1	0
10.3	26.4	18.4	0
8.5	25.9	17.2	0
10.7	26.4	18.6	0
9.4	25.7	17.6	0
8.0	24.3	16.2	0
6.5	25.5	16.0	0
9.0	25.5	17.3	0
10.3	26.0	18.2	0
10.2	25.2	17.7	0
11.0	24.0	17.5	1.1
14.1	20.2	17.2	1.6
11.4	23.8	17.6	0
8.8	25.0	16.9	0
8.8	25.5	17.2	0
10.0	26.3	18.2	1.2
11.3	25.8	18.6	0
11.5	24.7	18.1	4.1
9.9	25.8	17.9	0
9.9	26.5	18.2	0
10.2	27.0	18.6	0
10.0	22.3	16.2	16.3
12.5	23.8	18.2	0
8.6	23.7	16.2	0.8
11.5	22.6	17.1	30.8
12.0	21.5	16.8	6.3
13.0	20.9	17.0	0
11.5	23.1	17.3	9.8
9.3	25.2	17.3	0.4
12.8	22.9	17.9	5.9
12.3	24.1	18.2	29.7
12.2	23.6	17.9	23.4
11.9	22.5	17.2	9.2
12.5	22.5	17.5	11
12.6	22.6	17.6	6.7
11.0	23.8	17.4	0.6
10.8	23.0	16.9	6.3
13.2	18.2	15.7	42.8
12.7	24.9	18.8	4.7
10.9	22.8	16.9	1
11.0	23.2	17.1	0
12.8	22.7	17.8	0
11.2	22.6	16.9	0
8.2	23.8	16.0	0
11.5	23.2	17.4	0
9.3	22.2	15.8	0
11.5	23.5	17.5	0
10.8	23.4	17.1	0
8.5	23.9	16.2	4.2
13.2	23.7	18.5	0
9.5	24.0	16.8	0
8.8	23.6	16.2	0
11.0	23.4	17.2	16.3
13.5	18.5	16.0	28.1
12.7	19.8	16.3	0.2
9.9	22.0	16.0	10.9
12.5	21.1	16.8	6.2
12.4	21.6	17.0	27.5
13.9	20.0	17.0	30.1
13.1	20.5	16.8	4.2
12.0	22.4	17.2	6
11.5	22.4	17.0	0
13.7	22.9	18.3	0.6
12.7	23.2	18.0	0
10.3	22.5	16.4	0
12.5	23.7	18.1	0
9.6	22.1	15.9	0
8.0	22.0	15.0	0
7.5	23.0	15.3	0
5.5	23.7	14.6	0
6.0	24.0	15.0	0
6.6	23.7	15.2	0
10.5	23.0	16.8	0
8.0	23.0	15.5	0
8.9	22.4	15.7	0
8.3	24.7	16.5	2.8
9.4	24.2	16.8	0
8.8	23.7	16.3	0
7.8	23.0	15.4	0
5.5	23.7	14.6	0
7.2	24.5	15.9	0
5.2	24.3	14.8	0
7.1	24.1	15.6	0
7.6	23.9	15.8	1.3
9.6	24.6	17.1	3.5
11.5	25.0	18.3	0
10.6	25.2	17.9	0
9.5	24.7	17.1	0
9.5	22.3	15.9	0
10.2	23.6	16.9	0
8.0	24.1	16.1	0
3.5	26.1	14.8	0
3.6	25.4	14.5	0
3.9	26.2	15.1	0
6.3	25.1	15.7	0
6.5	25.0	15.8	0
6.0	26.4	16.2	0
8.2	25.4	16.8	0
6.8	24.5	15.7	0
8.6	25.1	16.9	0
9.5	25.2	17.4	0
9.5	24.7	17.1	0
7.0	26.2	16.6	0
5.5	26.4	16.0	0
5.0	25.8	15.4	0
7.0	25.4	16.2	0
5.2	26.3	15.8	0
5.5	24.2	14.9	0
7.5	25.7	16.6	0
6.2	26.1	16.2	0
6.0	26.2	16.1	0
4.5	26.0	15.3	0
6.0	26.0	16.0	0
5.0	26.1	15.6	0
5.6	25.8	15.7	0
8.5	25.8	17.2	0
6.2	27.0	16.6	0
4.8	26.2	15.5	0
8.6	26.2	17.4	0
6.3	26.0	16.2	0
6.2	24.2	15.2	0
5.2	26.3	15.8	0
3.8	28.0	15.9	0
5.0	26.9	16.0	0
3.5	26.8	15.2	0
7.4	25.6	16.5	0
4.2	25.5	14.9	0
8.5	26.2	17.4	0
8.5	26.8	17.7	0
3.6	26.0	14.8	0
9.4	26.5	18.0	0
8.1	26.7	17.4	0
8.5	27.7	18.1	0
11.0	27.3	19.2	0
11.2	26.6	18.9	0
10.4	26.5	18.5	0
9.8	26.8	18.3	0
9.5	27.0	18.3	0
10.1	27.0	18.6	0
11.6	27.1	19.4	0
6.4	27.0	16.7	0
8.9	28.0	18.5	0
9.6	28.5	19.1	0
8.6	27.6	18.1	0
6.4	26.5	16.5	0
6.8	27.7	17.3	1.5
10.0	22.7	16.4	3.8
10.0	23.2	16.6	0
10.0	26.4	18.2	0.6
6.5	26.0	16.3	6.8
9.0	22.3	15.7	0.5
12.6	25.0	18.8	0
7.5	26.5	17.0	0
9.0	26.3	17.7	10.1
9.9	26.4	18.2	0
9.7	25.7	17.7	0
8.9	27.1	18.0	0
10.4	25.4	17.9	0
5.3	26.4	15.9	0
5.0	27.5	16.3	0
7.7	28.2	18.0	0
6.5	27.5	17.0	0
7.5	27.5	17.5	0
6.5	27.2	16.9	0
6.2	28.4	17.3	0
8.0	29.5	18.8	0
7.8	29.1	18.5	0
9.7	28.7	19.2	0
8.6	29.3	19.0	0
11.5	28.6	20.1	0
11.4	28.0	19.7	0
6.7	28.6	17.7	0
10.8	28.8	19.8	0
10.7	27.9	19.3	0
10.8	27.5	19.2	0
8.2	28.1	18.2	0
10.1	27.4	18.8	0
9.5	29.7	19.6	0
9.5	29.0	19.3	0
10.5	27.8	19.2	0
9.6	27.4	18.5	3.2
11.5	25.5	18.5	1.4
12.5	23.5	18.0	0.5
10.8	26.7	18.8	0
12.4	28.3	20.4	0
13.7	26.0	19.9	3.2
14.7	25.0	19.9	2.1
13.6	26.0	19.8	0
12.8	26.5	19.7	0
9.3	26.5	17.9	0
10.3	28.0	19.2	0
9.8	26.7	18.3	0
10.5	27.1	18.8	6
11.5	23.8	17.7	3.6
13.5	25.0	19.3	1
14.0	26.5	20.3	0
12.5	26.2	19.4	28.2
10.8	25.1	18.0	13.1
12.3	22.1	17.2	26.6
11.2	26.5	18.9	0
10.9	26.3	18.6	4.8
11.8	24.5	18.2	34
12.2	22.7	17.5	0
13.0	21.6	17.3	6.1
12.7	23.1	17.9	17.7
12.7	21.8	17.3	1
11.1	25.1	18.1	3
13.8	22.8	18.3	19.7
13.8	23.2	18.5	23.4
13.3	23.0	18.2	11.8
13.1	23.4	18.3	2.2
13.4	23.0	18.2	11.4
12.1	24.5	18.3	8.5
13.4	21.6	17.5	27.8
12.8	23.7	18.3	59.5
11.0	23.0	17.0	42.5
12.6	20.8	16.7	5.5
13.1	21.6	17.4	5.9
12.6	21.4	17.0	32.4
11.2	23.6	17.4	34.7
11.2	24.2	17.7	0
9.1	25.0	17.1	0
10.5	23.6	17.1	9.5
12.8	22.9	17.9	8.3
11.6	23.6	17.6	0
11.5	24.5	18.0	2.4
11.8	25.3	18.6	6.7
12.6	23.1	17.9	9.5
12.9	23.4	18.2	0
10.9	24.8	17.9	0
11.5	24.5	18.0	0
12.5	25.4	19.0	0
9.5	25.5	17.5	16.7
12.5	23.5	18.0	0.2
12.0	22.8	17.4	27.5
9.5	23.8	16.7	10.6
9.3	23.7	16.5	0
12.2	24.1	18.2	0
9.8	24.5	17.2	24
11.5	24.0	17.8	12.5
7.6	20.1	13.9	5.6
7.6	25.5	16.6	20.3
8.8	24.7	16.8	0
9.0	24.5	16.8	10.8
12.5	22.5	17.5	2
10.8	22.1	16.5	0
13.7	23.5	18.6	0
13.3	22.8	18.1	24.2
13.5	22.2	17.9	6.6
12.7	23.0	17.9	4.5
11.2	23.5	17.4	14.1
13.4	23.8	18.6	0
10.6	23.8	17.2	0
9.3	24.4	16.9	0
9.7	24.2	17.0	0
10.8	25.1	18.0	0
8.5	22.9	15.7	0
10.2	23.3	16.8	8.1
11.1	22.5	16.8	0
11.2	22.0	16.6	45.7
12.5	22.1	17.3	16.5
11.7	21.5	16.6	13.1
13.4	21.2	17.3	1
10.9	22.9	16.9	0
12.6	22.5	17.6	13.3
11.0	21.1	16.1	6.4
10.6	22.3	16.5	13.7
11.5	21.4	16.5	4.3
10.5	22.7	16.6	15.4
11.9	25.2	18.6	12.3
10.2	21.7	16.0	6.2
10.3	21.4	15.9	2.5
10.0	21.4	15.7	0.6
10.7	21.2	16.0	0
9.8	21.1	15.5	0
8.2	21.8	15.0	0.5
11.3	19.5	15.4	0
8.8	22.0	15.4	1
8.6	20.6	14.6	2
9.8	22.5	16.2	1
10.3	22.6	16.5	0
11.6	22.1	16.9	0
8.4	22.3	15.4	20.9
10.3	23.3	16.8	11.1
11.1	22.2	16.7	17
11.7	22.0	16.9	0
10.2	22.8	16.5	22.5
9.5	22.2	15.9	0.5
9.0	23.5	16.3	0
12.5	20.7	16.6	8.5
12.1	22.7	17.4	4.2
9.2	22.2	15.7	5.3
9.8	22.5	16.2	13.5
10.8	21.2	16.0	1
12.2	20.0	16.1	0
12.9	22.4	17.7	4.4
12.8	20.6	16.7	3.1
10.9	20.6	15.8	0
11.7	21.6	16.7	1.7
11.2	20.5	15.9	3
12.6	22.1	17.4	0.3
11.6	22.0	16.8	13.2
11.0	22.5	16.8	0
9.5	23.2	16.4	2.6
10.2	22.7	16.5	4.1
12.2	21.5	16.9	36.4
9.7	23.6	16.7	7.7
11.5	22.2	16.9	11.6
11.0	23.5	17.3	3.2
13.4	21.1	17.3	0.7
12.5	22.2	17.4	47.7
9.2	24.4	16.8	5.1
11.0	24.4	17.7	0
8.2	23.4	15.8	14.4
8.0	24.5	16.3	69.2
7.4	22.5	15.0	1.2
10.9	22.0	16.5	0
12.0	21.8	16.9	0
12.3	21.7	17.0	0
12.5	22.4	17.5	3.2
10.7	22.6	16.7	6.1
11.0	22.3	16.7	0
9.4	22.9	16.2	1.7
6.9	23.0	15.0	8.9
9.1	22.5	15.8	24.4
12.1	22.0	17.1	0
9.0	23.5	16.3	0
11.2	23.2	17.2	6.5
12.0	21.8	16.9	8.8
12.4	20.4	16.4	13.8
10.1	22.7	16.4	13.6
8.9	23.6	16.3	0
8.0	23.3	15.7	7.2
8.9	22.5	15.7	0
10.2	24.5	17.4	0.5
11.8	22.1	17.0	33
10.9	22.7	16.8	29.3
12.7	21.5	17.1	15.9
13.0	18.5	15.8	8.8
13.1	22.6	17.9	5
12.1	21.3	16.7	6
9.7	23.0	16.4	21.7
9.9	22.5	16.2	20.5
9.5	23.6	16.6	21
11.6	22.6	17.1	12.8
12.7	24.0	18.4	0
10.5	24.2	17.4	0
9.9	24.0	17.0	2.6
11.3	22.0	16.7	0.7
9.8	23.5	16.7	0
7.4	24.1	15.8	0
7.2	23.6	15.4	0
8.8	25.0	16.9	0
8.5	24.6	16.6	0
10.2	25.5	17.9	0
7.7	25.2	16.5	0
8.1	24.6	16.4	9.2
9.9	24.5	17.2	29.2
12.8	23.0	17.9	0
9.9	23.4	16.7	10.2
11.7	24.3	18.0	4.3
12.0	24.2	18.1	0
11.2	24.8	18.0	0
10.2	24.4	17.3	0.6
11.4	24.4	17.9	0
7.5	25.0	16.3	0
7.9	25.7	16.8	0
8.9	25.8	17.4	0
10.4	24.6	17.5	0
9.4	25.7	17.6	0
9.0	25.2	17.1	0
9.5	25.4	17.5	0
9.6	26.0	17.8	0
13.1	22.6	17.9	24.2
12.5	26.5	19.5	1.2
10.5	24.0	17.3	4.3
12.0	22.7	17.4	7.3
12.8	22.6	17.7	4.2
10.4	24.6	17.5	0
9.2	24.2	16.7	0
9.4	23.8	16.6	0
11.9	25.3	18.6	0
10.0	24.6	17.3	0
12.5	24.2	18.4	0
13.5	23.4	18.5	0
12.5	25.1	18.8	0
11.4	25.3	18.4	0
9.8	25.5	17.7	0.7
11.0	24.0	17.5	1
9.0	24.7	16.9	1
11.2	24.1	17.7	19.1
13.4	22.9	18.2	19.6
12.9	23.5	18.2	8.2
13.1	22.5	17.8	1.9
13.1	23.8	18.5	11.7
10.1	23.0	16.6	0
11.3	21.0	16.2	18.8
10.0	23.5	16.8	0
9.4	22.5	16.0	0
10.0	22.8	16.4	10.9
11.3	23.0	17.2	17.9
11.5	23.5	17.5	3.6
8.6	23.0	15.8	0
12.4	22.7	17.6	0
12.0	23.2	17.6	0
9.2	23.4	16.3	0
8.7	23.0	15.9	0
10.2	24.5	17.4	23.3
10.2	25.3	17.8	0
9.8	25.9	17.9	0
11.0	25.6	18.3	10.1
10.9	22.6	16.8	1.3
13.1	23.5	18.3	0
9.5	24.5	17.0	0
8.2	24.5	16.4	2.1
10.5	25.0	17.8	0
8.4	25.0	16.7	0
9.2	24.0	16.6	0
6.3	24.7	15.5	0
7.0	24.5	15.8	0
11.2	24.6	17.9	0
9.9	25.5	17.7	0
11.9	24.2	18.1	2.1
13.5	23.7	18.6	2.4
10.5	23.7	17.1	0
11.6	23.5	17.6	0
10.4	24.0	17.2	0.7
10.4	21.0	15.7	0
7.5	24.9	16.2	0
9.4	25.5	17.5	0
8.6	24.5	16.6	10
10.7	24.3	17.5	0
8.7	24.4	16.6	0
9.5	24.2	16.9	0
8.0	24.5	16.3	0
7.7	25.1	16.4	0
7.2	24.6	15.9	0
9.6	24.4	17.0	0
8.2	25.0	16.6	0
9.7	23.7	16.7	0
7.6	25.4	16.5	0
10.5	25.6	18.1	2.3
10.8	22.5	16.7	0.3
13.1	22.5	17.8	0
6.1	23.2	14.7	0
6.3	23.0	14.7	0.5
12.0	21.6	16.8	27.2
9.4	23.8	16.6	0
12.7	24.0	18.4	2.2
12.8	24.3	18.6	4.6
13.5	23.6	18.6	13.6
13.3	22.8	18.1	0.4
14.0	24.3	19.2	69.5
12.4	21.7	17.1	18.3
10.6	22.0	16.3	0
10.6	23.2	16.9	4
12.7	23.5	18.1	0
12.0	24.3	18.2	0
12.2	28.5	20.4	0
10.8	23.5	17.2	0
9.3	25.4	17.4	0
10.3	21.8	16.1	1.3
10.5	25.5	18.0	0
8.7	25.5	17.1	16.2
8.2	24.2	16.2	0
10.5	24.8	17.7	0
12.4	25.4	18.9	0
9.2	24.8	17.0	0
10.4	24.1	17.3	0
8.8	24.0	16.4	0
12.2	21.0	16.6	1.1
12.3	24.4	18.4	0
10.3	23.0	16.7	0
8.8	25.7	17.3	0
8.5	26.5	17.5	0
7.0	25.6	16.3	0
6.2	25.0	15.6	0
8.6	26.1	17.4	0
7.8	26.2	17.0	0
9.8	26.9	18.4	0
9.8	25.5	17.7	0
7.6	21.8	14.7	0
8.9	26.3	17.6	0
9.4	24.5	17.0	0
9.7	25.0	17.4	8
11.5	22.2	16.9	8.5
10.6	21.0	15.8	13.5
10.6	20.7	15.7	14.1
11.5	19.5	15.5	0
8.4	23.6	16.0	0
7.7	24.8	16.3	0
10.2	25.5	17.9	0
9.4	26.5	18.0	0
9.2	25.5	17.4	0
10.3	26.3	18.3	0
9.4	26.2	17.8	0
9.0	27.3	18.2	0
11.3	26.7	19.0	0
12.2	27.3	19.8	1
10.1	26.0	18.1	0.3
9.8	26.3	18.1	0
8.0	25.8	16.9	0
7.2	26.5	16.9	0
9.8	27.2	18.5	0
9.0	27.3	18.2	0
8.6	27.7	18.2	0
9.1	24.7	16.9	0
10.8	24.9	17.9	0
7.5	27.0	17.3	0
9.8	27.1	18.5	0
9.6	26.6	18.1	0
7.5	26.7	17.1	0
12.7	26.3	19.5	0
8.2	26.1	17.2	0
8.8	27.5	18.2	0
8.3	28.5	18.4	0
8.5	28.6	18.6	0
10.7	28.1	19.4	0
10.8	28.7	19.8	0
9.9	28.5	19.2	0
11.4	28.1	19.8	0
10.4	28.6	19.5	1
12.5	28.0	20.3	0
10.2	27.5	18.9	0
10.5	26.6	18.6	14.5
10.1	27.5	18.8	0
10.9	27.3	19.1	0
9.4	26.9	18.2	0
12.8	27.3	20.1	0
10.4	25.1	17.8	0
13.3	27.9	20.6	0
13.5	27.0	20.3	0
10.8	27.8	19.3	19.9
13.8	22.5	18.2	11.5
12.4	24.0	18.2	22.2
12.5	25.7	19.1	1.4
13.0	24.8	18.9	3.3
12.5	25.1	18.8	0
10.6	26.5	18.6	0
10.9	26.0	18.5	0
9.9	26.0	18.0	4.5
10.2	26.0	18.1	15
12.1	22.2	17.2	16.3
11.9	23.8	17.9	6.7
13.2	21.6	17.4	10.9
13.4	20.7	17.1	35.8
13.0	22.0	17.5	5.3
12.6	24.0	18.3	0
10.4	26.1	18.3	19.1
12.6	25.0	18.8	1.8
10.8	25.5	18.2	8.2
12.6	24.0	18.3	6.6
13.4	23.0	18.2	28.6
11.7	25.0	18.4	24.7
13.9	23.0	18.5	11
13.4	22.7	18.1	3.6
12.7	25.2	19.0	14.2
14.4	21.0	17.7	18
13.6	21.0	17.3	34.3
11.6	24.4	18.0	9.5
13.6	24.0	18.8	0
11.6	23.9	17.8	0
11.8	26.5	19.2	0
11.1	25.5	18.3	2.3
12.6	25.0	18.8	4
12.4	24.8	18.6	2.1
11.5	24.6	18.1	4
12.4	22.7	17.6	27.7
13.2	25.0	19.1	4.6
12.5	24.5	18.5	0
11.2	25.1	18.2	0
11.4	22.9	17.2	32.3
13.5	24.0	18.8	8.6
11.4	23.5	17.5	1.5
11.4	24.4	17.9	4.4
12.7	24.0	18.4	27.7
12.4	19.8	16.1	18.3
12.3	19.1	15.7	29
12.2	21.5	16.9	5.7
12.8	23.0	17.9	18.7
12.3	22.5	17.4	12.2
11.5	22.1	16.8	5.6
14.2	20.2	17.2	19.5
12.3	21.6	17.0	12.5
13.2	21.5	17.4	11.4
12.6	24.0	18.3	0
10.8	24.2	17.5	2.5
11.0	23.0	17.0	0
9.8	24.4	17.1	0
9.4	24.3	16.9	0
9.5	24.4	17.0	0
8.2	24.4	16.3	0
9.0	24.8	16.9	0
10.3	24.3	17.3	0
8.4	24.0	16.2	0
8.4	24.3	16.4	0
10.6	24.7	17.7	0
11.3	24.3	17.8	0
10.0	25.0	17.5	0
8.9	25.0	17.0	0
8.8	24.2	16.5	1.7
8.5	25.1	16.8	0
10.3	25.9	18.1	6.3
9.5	25.3	17.4	0
9.9	25.6	17.8	0
8.5	25.1	16.8	0
11.9	24.8	18.4	1.6
9.6	24.8	17.2	0
8.3	24.8	16.6	0
7.0	25.1	16.1	0
9.9	24.9	17.4	4.6
8.7	23.4	16.1	5
12.3	21.4	16.9	1.2
12.7	22.5	17.6	27.1
11.0	22.5	16.8	0
12.0	24.4	18.2	8.8
10.9	23.8	17.4	4.5
12.4	23.0	17.7	5
12.4	22.7	17.6	0
11.2	23.2	17.2	6.1
11.7	22.5	17.1	9.2
10.0	22.8	16.4	38.7
14.1	21.0	17.6	5.5
11.3	21.8	16.6	1.7
10.2	19.6	14.9	9.9
12.2	23.0	17.6	18.1
13.2	20.4	16.8	0.4
12.5	23.4	18.0	0
11.4	22.4	16.9	0
9.6	23.6	16.6	8.7
10.2	22.9	16.6	0
9.5	22.9	16.2	0
9.0	22.3	15.7	1.9
10.9	23.7	17.3	2.1
9.6	22.9	16.3	0
10.3	22.7	16.5	1.8
11.9	22.7	17.3	20.8
10.9	23.3	17.1	0
10.0	23.5	16.8	2.8
9.4	23.3	16.4	0
8.0	23.2	15.6	0
8.4	22.4	15.4	0
8.2	23.0	15.6	13.6
10.4	21.7	16.1	8.9
12.2	22.1	17.2	2
12.2	21.3	16.8	0
10.7	21.6	16.2	0
7.2	22.2	14.7	0
9.3	22.3	15.8	5.5
11.4	20.7	16.1	0
9.5	21.8	15.7	0
7.7	22.7	15.2	0
6.4	23.2	14.8	0
5.9	23.0	14.5	0
8.6	22.7	15.7	0
10.0	22.8	16.4	23.2
12.0	22.9	17.5	0
14.1	20.5	17.3	0
13.1	21.6	17.4	0.5
13.3	23.0	18.2	35
12.3	23.0	17.7	1.3
8.4	21.7	15.1	3.2
9.6	21.9	15.8	0
10.1	22.5	16.3	0
11.5	22.5	17.0	37.2
11.8	22.5	17.2	1.3
11.1	21.5	16.3	2.4
12.6	18.2	15.4	8.8
