AquaCrop,5.0,(October,2015),-,Output,created,on,(date),:,8/10/2017,at,(time),:,10:12:57,AM

Period,Day1,Month1,Year1,Rain,ETo,GD,CO2,Irri,Infilt,Runoff,Drain,Upflow,E,E/Ex,Tr,Tr/Trx,SaltIn,SaltOut,SaltUp,SaltProf,Cycle,SaltStr,FertStr,TempStr,ExpStr,StoStr,BioMass,Brelative,HI,Yield,WPet,DayN,MonthN,YearN,File
d,m,y,d,mm,mm,°C.day,ppm,mm,mm,mm,mm,mm,mm,%,mm,%,ton/ha,ton/ha,ton/ha,ton/ha,days,%,%,%,%,%,ton/ha,%,%,ton/ha,kg/m3
Day,22,3,2000,0.0,2.6,1.4,369.41,0.0,0.0,0.0,0.0,0.0,0.1,3,0.0,-9,0.000,0.000,0.000,0.000,-9,-0,44,-0,0,0,0.000,-9,-9,-9,-9,22,3,2000,TOMATO2.PRO
Day,23,3,2000,0.0,3.4,3.5,369.41,36.0,36.0,0.0,0.0,0.0,3.4,100,0.0,-9,0.000,0.000,0.000,0.000,-9,-0,44,-0,0,0,0.000,-9,-9,-9,-9,23,3,2000,TOMATO2.PRO
Day,24,3,2000,0.0,2.7,3.9,369.41,37.0,37.0,0.0,0.0,0.0,3.0,100,0.0,-9,0.000,0.000,0.000,0.000,-9,-0,44,-0,0,0,0.000,-9,-9,-9,-9,24,3,2000,TOMATO2.PRO
Day,25,3,2000,0.0,2.7,6.0,369.41,0.0,0.0,0.0,0.0,0.0,3.0,100,0.0,-9,0.000,0.000,0.000,0.000,-9,-0,44,-0,0,0,0.000,-9,-9,-9,-9,25,3,2000,TOMATO2.PRO
Day,26,3,2000,0.6,2.2,8.0,369.41,0.0,0.6,0.0,0.0,0.0,2.2,92,0.0,100,0.000,0.000,0.000,0.000,1,0,44,0,0,0,0.003,100,-9,-9,-9,26,3,2000,TOMATO2.PRO
Day,27,3,2000,0.8,2.1,6.8,369.41,0.0,0.8,0.0,0.0,0.0,2.1,96,0.0,100,0.000,0.000,0.000,0.000,2,0,44,0,0,0,0.003,100,-9,-9,-9,27,3,2000,TOMATO2.PRO
Day,28,3,2000,0.0,2.8,8.6,369.41,0.0,0.0,0.0,0.0,0.0,2.1,76,0.1,100,0.000,0.000,0.000,0.000,3,0,44,0,0,0,0.003,100,-9,-9,-9,28,3,2000,TOMATO2.PRO
Day,29,3,2000,0.0,3.3,8.6,369.41,0.0,0.0,0.0,0.0,0.0,1.9,60,0.1,100,0.000,0.000,0.000,0.000,4,0,44,0,1,0,0.004,100,-9,-9,-9,29,3,2000,TOMATO2.PRO
Day,30,3,2000,0.0,3.0,6.0,369.41,0.0,0.0,0.0,0.0,0.0,1.4,49,0.1,100,0.000,0.000,0.000,0.000,5,0,44,0,2,0,0.004,99,-9,-9,-9,30,3,2000,TOMATO2.PRO
Day,31,3,2000,0.0,3.4,4.3,369.41,0.0,0.0,0.0,0.0,0.0,1.4,41,0.1,100,0.000,0.000,0.000,0.000,6,0,44,0,3,0,0.005,98,-9,-9,-9,31,3,2000,TOMATO2.PRO
Day,1,4,2000,0.0,3.2,6.0,369.41,0.0,0.0,0.0,0.0,0.0,1.1,36,0.1,100,0.000,0.000,0.000,0.000,7,0,44,0,6,0,0.005,95,-9,-9,-9,1,4,2000,TOMATO2.PRO
Day,2,4,2000,0.0,3.5,4.6,369.41,0.0,0.0,0.0,0.0,0.0,1.0,31,0.1,100,0.000,0.000,0.000,0.000,8,0,44,0,8,0,0.006,92,-9,-9,-9,2,4,2000,TOMATO2.PRO
Day,3,4,2000,0.4,1.8,5.5,369.41,0.0,0.4,0.0,0.0,0.0,1.2,69,0.1,100,0.000,0.000,0.000,0.000,9,0,44,0,10,0,0.006,90,-9,-9,-9,3,4,2000,TOMATO2.PRO
Day,4,4,2000,0.0,3.2,10.3,369.41,0.0,0.0,0.0,0.0,0.0,1.6,51,0.1,100,0.000,0.000,0.000,0.000,10,0,44,0,13,0,0.007,85,-9,-9,-9,4,4,2000,TOMATO2.PRO
Day,5,4,2000,0.0,3.2,8.8,369.41,0.0,0.0,0.0,0.0,0.0,1.2,41,0.1,100,0.000,0.000,0.000,0.000,11,0,44,0,17,0,0.007,80,-9,-9,-9,5,4,2000,TOMATO2.PRO
Day,6,4,2000,0.4,2.9,7.8,369.41,0.0,0.4,0.0,0.0,0.0,1.2,43,0.1,99,0.000,0.000,0.000,0.000,12,0,44,0,21,0,0.007,74,-9,-9,-9,6,4,2000,TOMATO2.PRO
Day,7,4,2000,0.2,2.2,2.3,369.41,0.0,0.2,0.0,0.0,0.0,0.8,37,0.1,100,0.000,0.000,0.000,0.000,13,0,44,0,24,0,0.008,69,-9,-9,-9,7,4,2000,TOMATO2.PRO
Day,8,4,2000,0.0,3.0,2.0,369.41,0.0,0.0,0.0,0.0,0.0,0.8,27,0.1,90,0.000,0.000,0.000,0.000,14,0,44,0,29,1,0.007,55,-9,-9,-9,8,4,2000,TOMATO2.PRO
Day,9,4,2000,0.0,2.2,0.8,369.41,0.0,0.0,0.0,0.0,0.0,0.5,24,0.1,92,0.000,0.000,0.000,0.000,15,0,44,0,33,1,0.007,51,-9,-9,-9,9,4,2000,TOMATO2.PRO
Day,10,4,2000,0.8,1.4,3.1,369.41,0.0,0.8,0.0,0.0,0.0,0.9,65,0.1,95,0.000,0.000,0.000,0.000,16,0,44,0,36,1,0.008,48,-9,-9,-9,10,4,2000,TOMATO2.PRO
Day,11,4,2000,0.2,2.8,5.9,369.41,0.0,0.2,0.0,0.0,0.0,0.7,27,0.1,83,0.000,0.000,0.000,0.000,17,0,44,0,39,2,0.007,37,-9,-9,-9,11,4,2000,TOMATO2.PRO
Day,12,4,2000,0.0,3.8,7.3,369.41,0.0,0.0,0.0,0.0,0.0,0.7,20,0.1,74,0.000,0.000,0.000,0.000,18,0,44,0,43,4,0.006,30,-9,-9,-9,12,4,2000,TOMATO2.PRO
Day,13,4,2000,0.0,3.6,10.0,369.41,1.0,1.0,0.0,0.0,0.0,1.4,40,0.1,73,0.000,0.000,0.000,0.000,19,0,44,0,46,5,0.006,26,-9,-9,-9,13,4,2000,TOMATO2.PRO
Day,14,4,2000,0.0,2.9,9.3,369.41,1.0,1.0,0.0,0.0,0.0,1.2,44,0.1,74,0.000,0.000,0.000,0.000,20,0,44,0,48,6,0.006,23,-9,-9,-9,14,4,2000,TOMATO2.PRO
Day,15,4,2000,0.0,3.3,10.8,369.41,1.0,1.0,0.0,0.0,0.0,1.3,40,0.1,70,0.000,0.000,0.000,0.000,21,0,44,0,51,7,0.006,20,-9,-9,-9,15,4,2000,TOMATO2.PRO
Day,16,4,2000,0.0,4.2,10.5,369.41,1.0,1.0,0.0,0.0,0.0,1.4,34,0.1,64,0.000,0.000,0.000,0.000,22,0,44,0,53,8,0.005,16,-9,-9,-9,16,4,2000,TOMATO2.PRO
Day,17,4,2000,0.0,3.9,8.3,369.41,2.0,2.0,0.0,0.0,0.0,2.1,56,0.1,64,0.000,0.000,0.000,0.000,23,0,44,0,55,10,0.005,14,-9,-9,-9,17,4,2000,TOMATO2.PRO
Day,18,4,2000,0.0,2.1,7.5,369.41,2.0,2.0,0.0,0.0,0.0,1.8,88,0.1,71,0.000,0.000,0.000,0.000,24,0,44,0,57,10,0.006,14,-9,-9,-9,18,4,2000,TOMATO2.PRO
Day,19,4,2000,0.0,3.1,9.0,369.41,2.0,2.0,0.0,0.0,0.0,2.0,67,0.1,65,0.000,0.000,0.000,0.000,25,0,44,0,59,11,0.005,11,-9,-9,-9,19,4,2000,TOMATO2.PRO
Day,20,4,2000,0.0,2.7,10.5,369.41,2.0,2.0,0.0,0.0,0.0,1.9,75,0.1,66,0.000,0.000,0.000,0.000,26,0,44,0,60,12,0.005,10,-9,-9,-9,20,4,2000,TOMATO2.PRO
Day,21,4,2000,0.0,3.8,11.6,369.41,2.0,2.0,0.0,0.0,0.0,2.1,57,0.1,60,0.000,0.000,0.000,0.000,27,0,44,0,62,13,0.005,8,-9,-9,-9,21,4,2000,TOMATO2.PRO
